# ID,name,RA,dec,mag
0,Sol,0.000000,0.000000,-26.700
1,,0.000060,1.089009,9.100
2,,0.000283,-19.498840,9.270
3,,0.000335,38.859279,6.610
4,,0.000569,-51.893546,8.060
5,,0.000665,-40.591202,8.550
6,,0.001246,3.946458,12.310
7,,0.001470,20.036114,9.640
8,,0.001823,25.886461,9.050
9,,0.002355,36.585958,8.590
10,,0.002424,-50.866976,8.590
11,,0.002488,46.939997,7.340
12,,0.002727,-35.960225,8.430
13,,0.002780,-22.594705,8.800
14,,0.003228,-0.360450,7.250
15,,0.003356,50.791187,8.600
16,,0.003401,-40.192392,8.150
17,,0.003469,-54.914363,11.710
18,,0.003522,-4.053680,11.030
19,,0.003554,38.304050,6.530
20,,0.004203,23.529228,8.510
21,,0.004426,8.007234,7.550
22,,0.004674,-49.352266,8.690
23,,0.004971,13.312234,7.570
24,,0.005091,-23.452695,9.050
25,,0.005300,-44.290561,6.280
26,,0.005606,-13.393378,9.130
27,,0.005720,-41.297813,9.320
28,,0.005815,-43.361821,8.830
29,,0.006146,-49.107945,9.140
30,,0.006408,42.141474,8.260
31,,0.006539,2.675477,7.630
32,,0.006572,51.939487,9.090
33,,0.006611,-10.462385,8.100
34,,0.006638,26.918108,6.430
35,,0.006864,-14.490484,9.070
36,,0.006893,12.267128,7.680
37,,0.007022,-47.179567,10.440
38,,0.007429,-79.061983,8.650
39,,0.007485,-16.697009,7.460
40,,0.007771,54.302236,8.700
41,,0.008131,67.216783,10.610
42,,0.008362,25.844765,8.200
43,,0.008593,59.559679,6.180
44,,0.008850,-3.306323,7.910
45,,0.008941,-72.202717,9.590
46,,0.008972,-25.622285,8.570
47,,0.009006,-56.835602,10.780
48,,0.009015,-40.690474,7.310
49,,0.009304,16.669049,9.530
50,,0.009533,-53.097713,6.490
51,,0.009561,1.066213,8.940
52,,0.009781,-77.020116,8.560
53,,0.009828,-29.263414,10.960
54,,0.010170,17.968908,10.570
55,,0.010549,-66.683173,7.400
56,,0.010862,0.222931,8.120
57,,0.011212,-69.675965,8.270
58,,0.011577,62.175898,7.050
59,,0.011630,55.722460,9.090
60,,0.011695,-64.465799,8.340
61,,0.011749,53.822146,8.860
62,,0.011998,-45.422739,8.270
63,,0.012119,45.253334,6.360
64,,0.012305,-27.907582,8.080
65,,0.012498,-54.830524,11.000
66,,0.012567,-72.318220,8.550
67,,0.013288,23.538219,7.830
68,,0.013360,16.988197,8.790
69,,0.013427,30.395890,8.330
70,,0.013512,36.777637,10.420
71,,0.013803,36.780106,8.260
72,,0.014661,-12.828961,8.970
73,,0.014694,66.848011,6.900
74,,0.014817,35.752624,9.930
75,,0.014882,-50.446459,7.420
76,,0.015214,32.825654,9.030
77,,0.015371,-30.064166,8.410
78,,0.015487,17.867851,8.060
79,,0.015718,35.316720,8.690
80,,0.016187,-11.823739,8.400
81,,0.016228,-4.932534,8.570
82,,0.016534,-10.935963,9.500
83,,0.016538,52.080562,8.850
84,,0.016824,27.886330,9.610
85,,0.017075,-24.714048,10.620
86,,0.017361,69.603505,8.050
87,,0.017433,-5.835002,7.800
88,,0.017941,-48.809876,5.710
89,,0.018477,53.166943,7.870
90,,0.018671,-41.887544,7.640
91,,0.018702,-5.874348,7.660
92,,0.019379,-20.705550,8.680
93,,0.019490,-0.076098,8.120
94,,0.019665,-32.756836,10.100
95,,0.020134,-11.964034,8.670
96,,0.020330,13.975088,10.460
97,,0.020478,-52.798575,9.870
98,,0.020492,-21.404042,9.480
